LULU,20110623,37200003,100,101.685,D,Q,@,,F,Q,260542,0
INFA,20110623,37200007,100,56.42,Z, ,@,,F,Q,262703,0
YRCW,20110623,37200007,100,0.9399,C, ,@F,,F,Q,314661,0
QCOM,20110623,37200013,100,53.5,Q, ,@,,F,Q,227547,0
QCOM,20110623,37200013,100,53.5,Q, ,@,,F,Q,227546,0
QCOM,20110623,37200013,200,53.5,Z, ,@,,F,Q,227545,0
QCOM,20110623,37200017,100,53.5,J, ,@,,F,Q,227548,0
QCOM,20110623,37200017,200,53.5,J, ,@,,F,Q,227549,0
GOOG,20110623,37200040,100,478.81,D,Q,@,,F,Q,262704,0
CRBC,20110623,37200043,100,0.6824,P, ,@F,,F,R,193664,0
CIEN,20110623,37200043,200,18.12,P, ,@,,F,Q,193665,0
CRBC,20110623,37200043,100,0.6824,P, ,@F,,F,R,193666,0
INFA,20110623,37200043,100,56.42,P, ,@,,F,Q,262706,0
GOOG,20110623,37200043,100,478.64,Q, ,@,,F,Q,262705,0
AAPL,20110623,37200053,100,324.7,P, ,@F,,F,Q,312129,0
RBCN,20110623,37200053,100,16.49,P, ,@F,,F,Q,227550,0
NTAP,20110623,37200057,100,50.34,P, ,@,,F,Q,260547,0
NTAP,20110623,37200057,1000,50.35,P, ,@,,F,Q,260545,0
NTAP,20110623,37200057,100,50.35,P, ,@,,F,Q,260543,0
NTAP,20110623,37200057,100,50.34,P, ,@,,F,Q,260546,0
LULU,20110623,37200057,100,101.67,P, ,@,,F,Q,260544,0
FSLR,20110623,37200057,100,119.92,Q, ,@F,,F,Q,262707,0
NTAP,20110623,37200060,100,50.34,P, ,@,,F,Q,260548,0
LINTA,20110623,37200067,200,16.02,Q, ,@F,,F,Q,260551,0
LINTA,20110623,37200067,400,16.02,Q, ,@F,,F,Q,260549,0
LINTA,20110623,37200067,100,16.02,Z, ,@,,F,Q,260552,0
LINTA,20110623,37200067,200,16.02,Q, ,@F,,F,Q,260550,0
LINTA,20110623,37200070,100,16.02,K, ,@,,F,Q,260562,0
LINTA,20110623,37200070,200,16.02,K, ,@,,F,Q,260563,0
LINTA,20110623,37200070,100,16.02,Z, ,@,,F,Q,260556,0
LINTA,20110623,37200070,200,16.02,Z, ,@,,F,Q,260559,0
LINTA,20110623,37200070,100,16.02,Z, ,@,,F,Q,260558,0
LINTA,20110623,37200070,100,16.02,Z, ,@,,F,Q,260557,0
LINTA,20110623,37200070,300,16.02,J, ,@,,F,Q,260560,0
LINTA,20110623,37200070,100,16.02,Z, ,@,,F,Q,260553,0
LINTA,20110623,37200070,100,16.02,J, ,@,,F,Q,260561,0
LINTA,20110623,37200070,100,16.02,Z, ,@,,F,Q,260554,0
LINTA,20110623,37200070,100,16.02,Y, ,@,,F,Q,260555,0
ENER,20110623,37200070,100,1.16,B, ,@,,F,Q,262710,0
GOOG,20110623,37200070,100,478.804,D,Q,@,,F,Q,262708,0
ENER,20110623,37200070,200,1.16,B, ,@,,F,Q,262709,0
LINTA,20110623,37200073,100,16.02,D,Q,@,,F,Q,260564,0
LINTA,20110623,37200073,300,16.02,D,Q,@F,,F,Q,260565,0
LINTA,20110623,37200077,100,16.02,K, ,@F,,F,Q,260566,0
LINTA,20110623,37200080,200,16.02,K, ,@,,F,Q,260567,0
LINTA,20110623,37200080,100,16.02,K, ,@,,F,Q,260568,0
LINTA,20110623,37200090,500,16.02,D,Q,@,,F,Q,260569,0
LINTA,20110623,37200103,200,16.02,D,N,@,,F,Q,260570,0
LINTA,20110623,37200120,100,16.02,D,Q,@,,F,Q,260571,0
LINTA,20110623,37200123,100,16.02,D,Q,@,,F,Q,260572,0
ARAY,20110623,37200123,100,7.54,Q, ,@,,F,Q,312130,0
VITC,20110623,37200127,100,4.74,Q, ,@F,,F,Q,314662,0
CA,20110623,37200127,300,21.77,Q, ,@,,F,Q,193668,0
WYNN,20110623,37200127,100,130.36,P, ,@,,F,Q,314663,0
